"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"한솔동3단지",무인대여소,,세종특별자치시 한솔동 1232,36.479804,127.260400,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"한솔동금강프라자금강방향",무인대여소,,세종특별자치시 나성동 724,36.479048,127.262571,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"한솔동금강프라자단지방향",무인대여소,,세종특별자치시 나성동 723,36.4793264587,127.262469441,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새뜸마을1단지정문(102동앞)",무인대여소,,세종특별자치시 새롬동 산77,36.482801,127.248515,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새뜸마을5단지",무인대여소,,세종특별자치시 새롬동 341-114,36.483183,127.251107,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새뜸마을8단지건너편",무인대여소,,세종특별자치시 새롬동 341-77,36.4842617331,127.2535052023,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새롬동새뜸프라자앞",무인대여소,,세종특별자치시 새롬동 341-106,36.484200,127.251999,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새롬동주민센터옆",무인대여소,,세종특별자치시 새롬동 산75,36.4852142223,127.2547670186,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새롬동상가세움빌딩앞",무인대여소,,세종특별자치시 새롬동 산75,36.4852142223,127.2547670186,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새롬동상가행운빌딩",무인대여소,,세종특별자치시 새롬동 산26,36.485790,127.250624,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
